recall0;recall1;recall2;recall3;recall4;recall5;training0;training1;training2
0;0;0;0;0;0;0;0;0
2.3E+13;1.8E+12;1E+14;5E+11;1.8E+12;0;5E+11;1.8E+12;0
4.88E+13;1.59E+13;1E+14;5E+11;2.7E+12;0;5E+11;2.7E+12;0
8.69E+13;2.37E+13;1E+14;1.011E+14;1.8E+12;1E+14;1.011E+14;1.8E+12;1E+14
1.05E+14;3.11E+13;1E+14;1.66E+14;3.45E+13;1E+14;1.66E+14;3.45E+13;1E+14
1.138E+14;3.94E+13;1E+14;1.865E+14;4.13E+13;1E+14;1.865E+14;4.13E+13;1E+14
1.026E+14;2.81E+13;1E+14;1.665E+14;5.69E+13;1E+14;1.665E+14;5.69E+13;1E+14
8.25E+13;3.35E+13;1E+14;7.67E+13;8.87E+13;1E+14;7.67E+13;8.87E+13;1E+14
4.3E+13;5.16E+13;1E+14;5E+11;1.17E+14;1E+14;5E+11;1.17E+14;1E+14
5E+11;6.67E+13;1E+14;5E+11;1.365E+14;1E+14;5E+11;1.365E+14;1E+14
0;7.89E+13;1E+14;0;1.419E+14;1E+14;0;1.419E+14;1E+14
5E+11;9.55E+13;1E+14;5E+11;1.683E+14;1E+14;5E+11;1.683E+14;1E+14
5E+11;1.092E+14;1E+14;5E+11;1.663E+14;1E+14;5E+11;1.663E+14;1E+14
5E+11;1.214E+14;1E+14;5E+11;1.771E+14;1E+14;5E+11;1.771E+14;1E+14
5E+11;1.053E+14;1E+14;5E+11;1.658E+14;1E+14;5E+11;1.658E+14;1E+14
0;2.28E+13;1E+14;5E+11;3.99E+13;1E+14;5E+11;3.99E+13;1E+14
5E+11;4.7E+12;0;0;4.2E+12;0;0;4.2E+12;0
5E+11;1.8E+12;0;5E+11;1.8E+12;0;5E+11;1.8E+12;0
5E+11;1.8E+12;0;5E+11;1.8E+12;0;5E+11;1.8E+12;0
5E+11;1.8E+12;0;5E+11;1.8E+12;0;5E+11;1.8E+12;0
5E+11;1.8E+12;0;5E+11;1.8E+12;0;5E+11;1.8E+12;0
5E+11;1.8E+12;0;5E+11;1.8E+12;0;5E+11;1.8E+12;0
5E+11;1.8E+12;0;5E+11;2.3E+12;0;5E+11;2.3E+12;0
0;1.8E+12;0;5E+11;1.8E+12;0;5E+11;1.8E+12;0
0;1.3E+12;0;5E+11;1.3E+12;0;5E+11;1.3E+12;0
;;;5E+11;2.3E+12;0;5E+11;2.3E+12;0
;;;1.416E+14;1.8E+12;1E+14;1.416E+14;1.8E+12;1E+14
;;;1.392E+14;2.03E+13;1E+14;1.392E+14;2.03E+13;1E+14
;;;1.87E+14;3.74E+13;1E+14;1.87E+14;3.74E+13;1E+14
;;;1.948E+14;3.94E+13;1E+14;1.948E+14;3.94E+13;1E+14
;;;1.577E+14;3.84E+13;1E+14;1.577E+14;3.84E+13;1E+14
;;;7.08E+13;3.94E+13;1E+14;7.08E+13;3.94E+13;1E+14
;;;2.3E+13;5.5E+13;1E+14;2.3E+13;5.5E+13;1E+14
;;;0;7.6E+13;1E+14;0;7.6E+13;1E+14
;;;0;1.102E+14;1E+14;0;1.102E+14;1E+14
;;;5E+11;1.258E+14;1E+14;5E+11;1.258E+14;1E+14
;;;5E+11;1.482E+14;1E+14;5E+11;1.482E+14;1E+14
;;;5E+11;1.512E+14;1E+14;5E+11;1.512E+14;1E+14
;;;5E+11;8.53E+13;1E+14;5E+11;8.53E+13;1E+14
;;;5E+11;9.6E+12;1E+14;5E+11;9.6E+12;1E+14
;;;5E+11;2.3E+12;0;5E+11;2.3E+12;0
;;;5E+11;1.8E+12;0;5E+11;1.8E+12;0
;;;5E+11;1.8E+12;0;5E+11;1.8E+12;0
;;;5E+11;1.8E+12;0;5E+11;1.8E+12;0
;;;5E+11;1.8E+12;0;5E+11;1.8E+12;0
;;;5E+11;2.3E+12;0;;;
;;;5E+11;2.3E+12;0;;;
;;;5E+11;1.3E+12;0;;;
;;;0;2.3E+12;0;;;
;;;1.856E+14;2.3E+12;1E+14;;;
;;;1.377E+14;2.7E+12;1E+14;;;
;;;1.763E+14;3.59E+13;1E+14;;;
;;;1.846E+14;4.28E+13;1E+14;;;
;;;1.421E+14;5.69E+13;1E+14;;;
;;;4.54E+13;7.99E+13;1E+14;;;
;;;0;1.116E+14;1E+14;;;
;;;5E+11;1.404E+14;1E+14;;;
;;;5E+11;1.697E+14;1E+14;;;
;;;5E+11;1.639E+14;1E+14;;;
;;;5E+11;1.585E+14;1E+14;;;
;;;5E+11;1.78E+14;1E+14;;;
;;;5E+11;1.912E+14;1E+14;;;
;;;5E+11;2.32E+13;1E+14;;;
;;;5E+11;1.8E+12;0;;;
;;;5E+11;1.8E+12;0;;;
;;;5E+11;1.8E+12;0;;;
;;;5E+11;1.8E+12;0;;;
;;;0;1.8E+12;0;;;
