Time;MLII;V5
00:00:00.000;-0.145;-0.065
00:00:00.002;-0.145;-0.065
00:00:00.005;-0.145;-0.065
00:00:00.008;-0.145;-0.065
00:00:00.011;-0.145;-0.065
00:00:00.013;-0.145;-0.065
00:00:00.016;-0.145;-0.065
00:00:00.019;-0.145;-0.065
00:00:00.022;-0.120;-0.080
00:00:00.025;-0.135;-0.080
00:00:00.027;-0.145;-0.085
00:00:00.030;-0.150;-0.085
00:00:00.033;-0.160;-0.075
00:00:00.036;-0.155;-0.070
00:00:00.038;-0.160;-0.070
00:00:00.041;-0.175;-0.065
00:00:00.044;-0.180;-0.055
00:00:00.047;-0.185;-0.050
00:00:00.050;-0.170;-0.050
00:00:00.052;-0.155;-0.040
00:00:00.055;-0.175;-0.040
00:00:00.058;-0.180;-0.055
00:00:00.061;-0.190;-0.075
00:00:00.063;-0.180;-0.080
00:00:00.066;-0.155;-0.085
00:00:00.069;-0.135;-0.070
00:00:00.072;-0.155;-0.080
00:00:00.075;-0.190;-0.080
00:00:00.077;-0.205;-0.090
00:00:00.080;-0.235;-0.095
00:00:00.083;-0.225;-0.090
00:00:00.086;-0.245;-0.095
00:00:00.088;-0.250;-0.110
00:00:00.091;-0.260;-0.120
00:00:00.094;-0.275;-0.145
00:00:00.097;-0.275;-0.135
00:00:00.100;-0.275;-0.105
00:00:00.102;-0.265;-0.095
00:00:00.105;-0.255;-0.105
00:00:00.108;-0.265;-0.120
00:00:00.111;-0.275;-0.135
00:00:00.113;-0.290;-0.125
00:00:00.116;-0.290;-0.125
00:00:00.119;-0.290;-0.115
00:00:00.122;-0.290;-0.115
00:00:00.125;-0.285;-0.125
00:00:00.127;-0.295;-0.140
00:00:00.130;-0.305;-0.140
00:00:00.133;-0.285;-0.130
00:00:00.136;-0.275;-0.125
00:00:00.138;-0.275;-0.140
00:00:00.141;-0.280;-0.145
00:00:00.144;-0.285;-0.150
00:00:00.147;-0.305;-0.150
00:00:00.150;-0.290;-0.130
00:00:00.152;-0.300;-0.115
00:00:00.155;-0.280;-0.125
00:00:00.158;-0.290;-0.135
00:00:00.161;-0.300;-0.160
00:00:00.163;-0.315;-0.195
00:00:00.166;-0.320;-0.200
00:00:00.169;-0.335;-0.205
00:00:00.172;-0.360;-0.225
00:00:00.175;-0.385;-0.255
00:00:00.177;-0.385;-0.300
00:00:00.180;-0.405;-0.290
00:00:00.183;-0.455;-0.235
00:00:00.186;-0.485;-0.130
00:00:00.188;-0.485;-0.035
00:00:00.191;-0.425;0.050
00:00:00.194;-0.330;0.120
00:00:00.197;-0.220;0.200
00:00:00.200;-0.070;0.310
00:00:00.202;0.120;0.435
00:00:00.205;0.375;0.535
00:00:00.208;0.620;0.580
00:00:00.211;0.780;0.475
00:00:00.213;0.840;0.210
00:00:00.216;0.765;-0.085
00:00:00.219;0.520;-0.230
00:00:00.222;0.170;-0.250
00:00:00.225;-0.165;-0.215
00:00:00.227;-0.365;-0.180
00:00:00.230;-0.435;-0.185
00:00:00.233;-0.425;-0.160
00:00:00.236;-0.370;-0.150
00:00:00.238;-0.330;-0.150
00:00:00.241;-0.325;-0.180
00:00:00.244;-0.335;-0.180
00:00:00.247;-0.345;-0.160
00:00:00.250;-0.330;-0.165
00:00:00.252;-0.325;-0.170
00:00:00.255;-0.315;-0.165
00:00:00.258;-0.310;-0.185
00:00:00.261;-0.320;-0.185
00:00:00.263;-0.335;-0.185
00:00:00.266;-0.340;-0.170
00:00:00.269;-0.325;-0.160
00:00:00.272;-0.345;-0.155
00:00:00.275;-0.335;-0.175
00:00:00.277;-0.330;-0.195
00:00:00.280;-0.335;-0.185
00:00:00.283;-0.330;-0.185
00:00:00.286;-0.325;-0.175
00:00:00.288;-0.330;-0.175
00:00:00.291;-0.330;-0.195
00:00:00.294;-0.345;-0.190
00:00:00.297;-0.355;-0.180
00:00:00.300;-0.335;-0.165
00:00:00.302;-0.325;-0.170
00:00:00.305;-0.305;-0.170
00:00:00.308;-0.320;-0.170
00:00:00.311;-0.320;-0.190
00:00:00.313;-0.330;-0.185
00:00:00.316;-0.340;-0.180
00:00:00.319;-0.335;-0.170
00:00:00.322;-0.340;-0.175
00:00:00.325;-0.345;-0.190
00:00:00.327;-0.355;-0.200
00:00:00.330;-0.355;-0.195
00:00:00.333;-0.340;-0.185
00:00:00.336;-0.330;-0.170
00:00:00.338;-0.330;-0.170
00:00:00.341;-0.330;-0.185
00:00:00.344;-0.340;-0.195
00:00:00.347;-0.350;-0.175
00:00:00.350;-0.325;-0.200
00:00:00.352;-0.325;-0.185
00:00:00.355;-0.330;-0.180
00:00:00.358;-0.330;-0.185
00:00:00.361;-0.335;-0.205
00:00:00.363;-0.335;-0.190
00:00:00.366;-0.340;-0.180
00:00:00.369;-0.330;-0.185
00:00:00.372;-0.340;-0.200
00:00:00.375;-0.350;-0.215
00:00:00.377;-0.355;-0.205
00:00:00.380;-0.350;-0.210
00:00:00.383;-0.345;-0.200
00:00:00.386;-0.330;-0.185
00:00:00.388;-0.320;-0.205
00:00:00.391;-0.335;-0.200
00:00:00.394;-0.330;-0.210
00:00:00.397;-0.345;-0.205
00:00:00.400;-0.330;-0.185
00:00:00.402;-0.335;-0.185
00:00:00.405;-0.335;-0.200
00:00:00.408;-0.345;-0.215
00:00:00.411;-0.345;-0.225
00:00:00.413;-0.355;-0.220
00:00:00.416;-0.340;-0.200
00:00:00.419;-0.340;-0.200
00:00:00.422;-0.335;-0.215
00:00:00.425;-0.330;-0.225
00:00:00.427;-0.350;-0.235
00:00:00.430;-0.350;-0.245
00:00:00.433;-0.345;-0.240
00:00:00.436;-0.335;-0.240
00:00:00.438;-0.335;-0.240
00:00:00.441;-0.335;-0.245
00:00:00.444;-0.350;-0.260
00:00:00.447;-0.355;-0.260
00:00:00.450;-0.355;-0.265
00:00:00.452;-0.345;-0.265
00:00:00.455;-0.345;-0.280
00:00:00.458;-0.335;-0.285
00:00:00.461;-0.350;-0.295
00:00:00.463;-0.360;-0.295
00:00:00.466;-0.360;-0.300
00:00:00.469;-0.360;-0.290
00:00:00.472;-0.365;-0.300
00:00:00.475;-0.360;-0.315
00:00:00.477;-0.370;-0.315
00:00:00.480;-0.385;-0.315
00:00:00.483;-0.370;-0.315
00:00:00.486;-0.360;-0.310
00:00:00.488;-0.355;-0.310
00:00:00.491;-0.360;-0.325
00:00:00.494;-0.375;-0.330
00:00:00.497;-0.375;-0.325
00:00:00.500;-0.365;-0.315
00:00:00.502;-0.365;-0.305
00:00:00.505;-0.360;-0.305
00:00:00.508;-0.360;-0.290
00:00:00.511;-0.365;-0.290
00:00:00.513;-0.370;-0.275
00:00:00.516;-0.355;-0.270
00:00:00.519;-0.330;-0.245
00:00:00.522;-0.325;-0.240
00:00:00.525;-0.325;-0.250
00:00:00.527;-0.335;-0.250
00:00:00.530;-0.340;-0.235
00:00:00.533;-0.315;-0.220
00:00:00.536;-0.300;-0.195
00:00:00.538;-0.300;-0.190
00:00:00.541;-0.290;-0.190
00:00:00.544;-0.295;-0.190
00:00:00.547;-0.290;-0.180
00:00:00.550;-0.285;-0.160
00:00:00.552;-0.275;-0.145
00:00:00.555;-0.255;-0.150
00:00:00.558;-0.250;-0.160
00:00:00.561;-0.250;-0.160
00:00:00.563;-0.265;-0.155
00:00:00.566;-0.255;-0.145
00:00:00.569;-0.245;-0.140
00:00:00.572;-0.230;-0.160
00:00:00.575;-0.245;-0.150
00:00:00.577;-0.245;-0.175
00:00:00.580;-0.255;-0.170
00:00:00.583;-0.255;-0.160
00:00:00.586;-0.240;-0.160
00:00:00.588;-0.250;-0.150
00:00:00.591;-0.255;-0.155
00:00:00.594;-0.245;-0.160
00:00:00.597;-0.255;-0.170
00:00:00.600;-0.250;-0.155
00:00:00.602;-0.250;-0.155
00:00:00.605;-0.265;-0.150
00:00:00.608;-0.260;-0.165
00:00:00.611;-0.260;-0.175
00:00:00.613;-0.265;-0.165
00:00:00.616;-0.270;-0.165
00:00:00.619;-0.265;-0.160
00:00:00.622;-0.260;-0.160
00:00:00.625;-0.275;-0.180
00:00:00.627;-0.280;-0.175
00:00:00.630;-0.290;-0.185
00:00:00.633;-0.275;-0.165
00:00:00.636;-0.270;-0.150
00:00:00.638;-0.260;-0.150
00:00:00.641;-0.280;-0.170
00:00:00.644;-0.280;-0.185
00:00:00.647;-0.285;-0.195
00:00:00.650;-0.275;-0.190
00:00:00.652;-0.275;-0.190
00:00:00.655;-0.265;-0.185
00:00:00.658;-0.270;-0.190
00:00:00.661;-0.285;-0.210
00:00:00.663;-0.290;-0.195
00:00:00.666;-0.280;-0.190
00:00:00.669;-0.275;-0.180
00:00:00.672;-0.285;-0.205
00:00:00.675;-0.280;-0.215
00:00:00.677;-0.300;-0.225
00:00:00.680;-0.300;-0.210
00:00:00.683;-0.305;-0.205
00:00:00.686;-0.295;-0.195
00:00:00.688;-0.300;-0.200
00:00:00.691;-0.310;-0.195
00:00:00.694;-0.310;-0.210
00:00:00.697;-0.305;-0.215
00:00:00.700;-0.295;-0.205
00:00:00.702;-0.285;-0.185
00:00:00.705;-0.285;-0.195
00:00:00.708;-0.290;-0.195
00:00:00.711;-0.295;-0.220
00:00:00.713;-0.310;-0.220
00:00:00.716;-0.290;-0.210
00:00:00.719;-0.295;-0.215
00:00:00.722;-0.300;-0.220
00:00:00.725;-0.305;-0.220
00:00:00.727;-0.310;-0.225
00:00:00.730;-0.325;-0.210
00:00:00.733;-0.310;-0.200
00:00:00.736;-0.300;-0.210
00:00:00.738;-0.290;-0.225
00:00:00.741;-0.310;-0.230
00:00:00.744;-0.325;-0.225
00:00:00.747;-0.330;-0.220
00:00:00.750;-0.315;-0.230
00:00:00.752;-0.300;-0.210
00:00:00.755;-0.305;-0.215
00:00:00.758;-0.310;-0.215
00:00:00.761;-0.320;-0.230
00:00:00.763;-0.330;-0.215
00:00:00.766;-0.325;-0.220
00:00:00.769;-0.315;-0.205
00:00:00.772;-0.310;-0.205
00:00:00.775;-0.305;-0.210
00:00:00.777;-0.305;-0.215
00:00:00.780;-0.310;-0.225
00:00:00.783;-0.300;-0.215
00:00:00.786;-0.305;-0.215
00:00:00.788;-0.290;-0.215
00:00:00.791;-0.300;-0.225
00:00:00.794;-0.300;-0.225
00:00:00.797;-0.305;-0.225
00:00:00.800;-0.305;-0.205
00:00:00.802;-0.290;-0.195
00:00:00.805;-0.280;-0.210
00:00:00.808;-0.295;-0.210
00:00:00.811;-0.305;-0.215
00:00:00.813;-0.315;-0.235
00:00:00.816;-0.305;-0.230
00:00:00.819;-0.295;-0.220
00:00:00.822;-0.290;-0.220
00:00:00.825;-0.280;-0.230
00:00:00.827;-0.270;-0.225
00:00:00.830;-0.275;-0.230
00:00:00.833;-0.275;-0.215
00:00:00.836;-0.270;-0.195
00:00:00.838;-0.250;-0.195
00:00:00.841;-0.250;-0.190
00:00:00.844;-0.255;-0.200
00:00:00.847;-0.225;-0.195
00:00:00.850;-0.220;-0.180
00:00:00.852;-0.205;-0.170
00:00:00.855;-0.200;-0.180
00:00:00.858;-0.205;-0.175
00:00:00.861;-0.215;-0.195
00:00:00.863;-0.230;-0.195
00:00:00.866;-0.220;-0.170
00:00:00.869;-0.225;-0.175
00:00:00.872;-0.225;-0.175
00:00:00.875;-0.225;-0.180
00:00:00.877;-0.230;-0.185
00:00:00.880;-0.235;-0.185
00:00:00.883;-0.240;-0.175
00:00:00.886;-0.235;-0.175
00:00:00.888;-0.220;-0.175
00:00:00.891;-0.210;-0.190
00:00:00.894;-0.205;-0.205
00:00:00.897;-0.245;-0.200
00:00:00.900;-0.285;-0.205
00:00:00.902;-0.285;-0.205
00:00:00.905;-0.300;-0.215
00:00:00.908;-0.310;-0.215
00:00:00.911;-0.330;-0.225
00:00:00.913;-0.330;-0.215
00:00:00.916;-0.325;-0.210
00:00:00.919;-0.315;-0.200
00:00:00.922;-0.320;-0.215
00:00:00.925;-0.315;-0.225
00:00:00.927;-0.325;-0.245
00:00:00.930;-0.340;-0.245
00:00:00.933;-0.345;-0.250
00:00:00.936;-0.340;-0.225
00:00:00.938;-0.340;-0.230
00:00:00.941;-0.350;-0.235
00:00:00.944;-0.345;-0.240
00:00:00.947;-0.355;-0.235
00:00:00.950;-0.330;-0.235
00:00:00.952;-0.335;-0.220
00:00:00.955;-0.330;-0.230
00:00:00.958;-0.320;-0.240
00:00:00.961;-0.345;-0.240
00:00:00.963;-0.355;-0.245
00:00:00.966;-0.340;-0.225
00:00:00.969;-0.330;-0.225
00:00:00.972;-0.325;-0.235
00:00:00.975;-0.330;-0.250
00:00:00.977;-0.350;-0.270
00:00:00.980;-0.365;-0.280
00:00:00.983;-0.360;-0.290
00:00:00.986;-0.380;-0.300
00:00:00.988;-0.425;-0.330
00:00:00.991;-0.445;-0.360
00:00:00.994;-0.475;-0.355
00:00:00.997;-0.510;-0.305
00:00:01.000;-0.535;-0.205
00:00:01.002;-0.505;-0.080
00:00:01.005;-0.415;0.015
00:00:01.008;-0.300;0.065
00:00:01.011;-0.160;0.115
00:00:01.013;-0.015;0.190
00:00:01.016;0.235;0.300
00:00:01.019;0.490;0.410
00:00:01.022;0.720;0.495
00:00:01.025;0.875;0.485
00:00:01.027;0.940;0.360
00:00:01.030;0.905;0.105
00:00:01.033;0.755;-0.165
00:00:01.036;0.490;-0.350
00:00:01.038;0.165;-0.450
00:00:01.041;-0.110;-0.470
00:00:01.044;-0.270;-0.450
00:00:01.047;-0.390;-0.395
00:00:01.050;-0.450;-0.345
00:00:01.052;-0.475;-0.310
00:00:01.055;-0.455;-0.295
00:00:01.058;-0.425;-0.285
00:00:01.061;-0.390;-0.295
00:00:01.063;-0.390;-0.295
00:00:01.066;-0.385;-0.280
00:00:01.069;-0.390;-0.285
00:00:01.072;-0.380;-0.285
00:00:01.075;-0.380;-0.285
00:00:01.077;-0.380;-0.290
00:00:01.080;-0.395;-0.275
00:00:01.083;-0.385;-0.275
00:00:01.086;-0.385;-0.275
00:00:01.088;-0.385;-0.270
00:00:01.091;-0.375;-0.285
00:00:01.094;-0.395;-0.295
00:00:01.097;-0.410;-0.290
00:00:01.100;-0.410;-0.275
00:00:01.102;-0.400;-0.265
00:00:01.105;-0.395;-0.265
00:00:01.108;-0.390;-0.275
00:00:01.111;-0.405;-0.295
00:00:01.113;-0.395;-0.290
00:00:01.116;-0.385;-0.285
00:00:01.119;-0.375;-0.270
00:00:01.122;-0.390;-0.265
00:00:01.125;-0.390;-0.275
00:00:01.127;-0.405;-0.280
00:00:01.130;-0.410;-0.280
00:00:01.133;-0.410;-0.270
00:00:01.136;-0.390;-0.265
00:00:01.138;-0.390;-0.270
00:00:01.141;-0.395;-0.270
00:00:01.144;-0.405;-0.280
00:00:01.147;-0.415;-0.270
00:00:01.150;-0.400;-0.265
00:00:01.152;-0.410;-0.265
00:00:01.155;-0.405;-0.265
00:00:01.158;-0.410;-0.270
00:00:01.161;-0.415;-0.285
00:00:01.163;-0.410;-0.285
00:00:01.166;-0.400;-0.265
00:00:01.169;-0.400;-0.265
00:00:01.172;-0.395;-0.255
00:00:01.175;-0.390;-0.275
00:00:01.177;-0.405;-0.275
00:00:01.180;-0.410;-0.280
00:00:01.183;-0.390;-0.270
00:00:01.186;-0.390;-0.265
00:00:01.188;-0.385;-0.275
00:00:01.191;-0.385;-0.285
00:00:01.194;-0.410;-0.280
00:00:01.197;-0.405;-0.280
00:00:01.200;-0.395;-0.275
00:00:01.202;-0.390;-0.275
00:00:01.205;-0.375;-0.275
00:00:01.208;-0.390;-0.285
00:00:01.211;-0.395;-0.295
00:00:01.213;-0.410;-0.295
00:00:01.216;-0.400;-0.275
00:00:01.219;-0.390;-0.275
00:00:01.222;-0.390;-0.285
00:00:01.225;-0.385;-0.290
00:00:01.227;-0.405;-0.315
00:00:01.230;-0.415;-0.315
00:00:01.233;-0.415;-0.305
00:00:01.236;-0.400;-0.290
00:00:01.238;-0.395;-0.310
00:00:01.241;-0.405;-0.320
00:00:01.244;-0.415;-0.320
00:00:01.247;-0.420;-0.335
00:00:01.250;-0.420;-0.330
00:00:01.252;-0.410;-0.325
00:00:01.255;-0.415;-0.345
00:00:01.258;-0.425;-0.350
00:00:01.261;-0.420;-0.365
00:00:01.263;-0.435;-0.370
00:00:01.266;-0.430;-0.355
00:00:01.269;-0.430;-0.360
00:00:01.272;-0.420;-0.370
00:00:01.275;-0.430;-0.390
00:00:01.277;-0.450;-0.395
00:00:01.280;-0.455;-0.400
00:00:01.283;-0.450;-0.390
00:00:01.286;-0.435;-0.385
00:00:01.288;-0.445;-0.390
00:00:01.291;-0.450;-0.400
00:00:01.294;-0.455;-0.410
00:00:01.297;-0.470;-0.420
00:00:01.300;-0.460;-0.405
00:00:01.302;-0.455;-0.410
00:00:01.305;-0.450;-0.410
00:00:01.308;-0.455;-0.400
00:00:01.311;-0.470;-0.405
00:00:01.313;-0.475;-0.390
00:00:01.316;-0.460;-0.385
00:00:01.319;-0.450;-0.365
00:00:01.322;-0.445;-0.355
00:00:01.325;-0.440;-0.345
00:00:01.327;-0.435;-0.355
00:00:01.330;-0.440;-0.330
00:00:01.333;-0.410;-0.295
00:00:01.336;-0.395;-0.275
00:00:01.338;-0.370;-0.270
00:00:01.341;-0.365;-0.260
00:00:01.344;-0.360;-0.265
00:00:01.347;-0.365;-0.265
00:00:01.350;-0.340;-0.245
00:00:01.352;-0.325;-0.225
00:00:01.355;-0.315;-0.210
00:00:01.358;-0.320;-0.215
00:00:01.361;-0.330;-0.215
00:00:01.363;-0.330;-0.205
00:00:01.366;-0.320;-0.195
00:00:01.369;-0.310;-0.185
00:00:01.372;-0.300;-0.185
00:00:01.375;-0.300;-0.195
00:00:01.377;-0.320;-0.195
00:00:01.380;-0.320;-0.195
00:00:01.383;-0.315;-0.185
00:00:01.386;-0.305;-0.170
00:00:01.388;-0.305;-0.185
00:00:01.391;-0.295;-0.195
00:00:01.394;-0.320;-0.195
00:00:01.397;-0.330;-0.195
00:00:01.400;-0.305;-0.185
00:00:01.402;-0.310;-0.175
00:00:01.405;-0.300;-0.175
00:00:01.408;-0.300;-0.185
00:00:01.411;-0.320;-0.195
00:00:01.413;-0.325;-0.195
00:00:01.416;-0.310;-0.195
00:00:01.419;-0.305;-0.180
00:00:01.422;-0.315;-0.185
00:00:01.425;-0.305;-0.190
00:00:01.427;-0.315;-0.195
00:00:01.430;-0.315;-0.195
00:00:01.433;-0.310;-0.190
00:00:01.436;-0.295;-0.185
00:00:01.438;-0.290;-0.185
00:00:01.441;-0.305;-0.190
00:00:01.444;-0.310;-0.200
00:00:01.447;-0.320;-0.215
00:00:01.450;-0.315;-0.195
00:00:01.452;-0.300;-0.185
00:00:01.455;-0.315;-0.185
00:00:01.458;-0.315;-0.185
00:00:01.461;-0.315;-0.200
00:00:01.463;-0.330;-0.205
00:00:01.466;-0.315;-0.190
00:00:01.469;-0.320;-0.190
00:00:01.472;-0.315;-0.200
00:00:01.475;-0.325;-0.200
00:00:01.477;-0.335;-0.195
00:00:01.480;-0.340;-0.220
00:00:01.483;-0.335;-0.205
00:00:01.486;-0.335;-0.190
00:00:01.488;-0.330;-0.200
00:00:01.491;-0.325;-0.220
00:00:01.494;-0.345;-0.230
00:00:01.497;-0.350;-0.210
00:00:01.500;-0.345;-0.205
00:00:01.502;-0.335;-0.200
00:00:01.505;-0.330;-0.195
00:00:01.508;-0.330;-0.220
00:00:01.511;-0.345;-0.225
00:00:01.513;-0.345;-0.225
00:00:01.516;-0.345;-0.215
00:00:01.519;-0.320;-0.205
00:00:01.522;-0.330;-0.205
00:00:01.525;-0.335;-0.215
00:00:01.527;-0.340;-0.225
00:00:01.530;-0.355;-0.220
00:00:01.533;-0.335;-0.225
00:00:01.536;-0.330;-0.195
00:00:01.538;-0.330;-0.215
00:00:01.541;-0.335;-0.220
00:00:01.544;-0.355;-0.215
00:00:01.547;-0.360;-0.225
00:00:01.550;-0.355;-0.215
00:00:01.552;-0.350;-0.210
00:00:01.555;-0.340;-0.210
00:00:01.558;-0.345;-0.225
00:00:01.561;-0.345;-0.230
00:00:01.563;-0.345;-0.220
00:00:01.566;-0.345;-0.210
00:00:01.569;-0.330;-0.205
00:00:01.572;-0.330;-0.200
00:00:01.575;-0.335;-0.205
00:00:01.577;-0.345;-0.220
00:00:01.580;-0.350;-0.230
00:00:01.583;-0.350;-0.215
00:00:01.586;-0.340;-0.205
00:00:01.588;-0.330;-0.200
00:00:01.591;-0.345;-0.230
00:00:01.594;-0.345;-0.220
00:00:01.597;-0.355;-0.215
00:00:01.600;-0.350;-0.205
00:00:01.602;-0.340;-0.200
00:00:01.605;-0.330;-0.205
00:00:01.608;-0.340;-0.220
00:00:01.611;-0.340;-0.220
00:00:01.613;-0.340;-0.225
00:00:01.616;-0.330;-0.205
00:00:01.619;-0.335;-0.200
00:00:01.622;-0.330;-0.200
00:00:01.625;-0.335;-0.210
00:00:01.627;-0.345;-0.230
00:00:01.630;-0.345;-0.215
00:00:01.633;-0.340;-0.200
00:00:01.636;-0.330;-0.200
00:00:01.638;-0.315;-0.205
