sample interval	    ECG
     (0.01 sec)	   (mV)
              0	 -0.060
              1	 -0.065
              2	 -0.060
              3	 -0.075
              4	 -0.065
              5	 -0.070
              6	 -0.070
              7	 -0.090
              8	 -0.080
              9	 -0.095
             10	 -0.080
             11	 -0.095
             12	 -0.080
             13	 -0.095
             14	 -0.085
             15	 -0.090
             16	 -0.090
             17	 -0.100
             18	 -0.085
             19	 -0.105
             20	 -0.090
             21	 -0.045
             22	  0.005
             23	  0.015
             24	  0.045
             25	  0.155
             26	  0.140
             27	  0.045
             28	  0.005
             29	 -0.040
             30	 -0.085
             31	 -0.200
             32	 -0.195
             33	 -0.200
             34	 -0.200
             35	 -0.240
             36	 -0.130
             37	  0.340
             38	  1.155
             39	  1.470
             40	 -0.155
             41	 -0.825
             42	 -0.590
             43	 -0.350
             44	 -0.155
             45	 -0.170
             46	 -0.140
             47	 -0.155
             48	 -0.115
             49	 -0.125
             50	 -0.090
             51	 -0.095
             52	 -0.065
             53	 -0.055
             54	 -0.015
             55	 -0.005
             56	  0.035
             57	  0.045
             58	  0.090
             59	  0.110
             60	  0.150
             61	  0.180
             62	  0.205
             63	  0.225
             64	  0.230
             65	  0.220
             66	  0.235
             67	  0.230
             68	  0.200
             69	  0.170
             70	  0.120
             71	  0.075
             72	  0.040
             73	  0.020
             74	  0.005
             75	 -0.005
             76	 -0.005
             77	 -0.010
             78	 -0.015
             79	 -0.010
             80	  0.000
             81	 -0.005
             82	 -0.020
             83	 -0.020
             84	 -0.015
             85	 -0.025
             86	 -0.035
             87	 -0.045
             88	 -0.045
             89	 -0.060
             90	 -0.065
             91	 -0.070
             92	 -0.055
             93	 -0.060
             94	 -0.080
             95	 -0.075
             96	 -0.090
             97	 -0.065
             98	 -0.075
             99	 -0.080
            100	 -0.080
            101	 -0.085
            102	 -0.090
            103	 -0.075
            104	 -0.085
            105	 -0.095
            106	 -0.105
            107	 -0.090
            108	 -0.095
            109	 -0.070
            110	 -0.045
            111	  0.005
            112	  0.030
            113	  0.070
            114	  0.195
            115	  0.145
            116	  0.050
            117	 -0.015
            118	 -0.025
            119	 -0.115
            120	 -0.180
            121	 -0.190
            122	 -0.185
            123	 -0.185
            124	 -0.215
            125	  0.010
            126	  0.575
            127	  1.185
            128	  0.960
            129	 -0.160
            130	 -0.740
            131	 -0.640
            132	 -0.350
            133	 -0.175
            134	 -0.145
            135	 -0.150
            136	 -0.145
            137	 -0.105
            138	 -0.120
            139	 -0.090
            140	 -0.085
            141	 -0.070
            142	 -0.040
            143	 -0.020
            144	  0.005
            145	  0.020
            146	  0.045
            147	  0.080
            148	  0.115
            149	  0.140
            150	  0.165
            151	  0.210
            152	  0.190
            153	  0.220
            154	  0.210
            155	  0.215
            156	  0.215
            157	  0.160
            158	  0.135
            159	  0.100
            160	  0.050
            161	  0.035
            162	 -0.005
            163	  0.005
